code	first_name	last_name	city	age
8332	Gerald	Kennedy	Harrisburg	63
1572	Ulysses	Jackson	Topeka	58
2338	Herbert	Reagan	Charleston	61
3648	Andrew	Garfield	Sacramento	24
9317	Lyndon	Nixon	Pierre	21
988		Calvin	Jefferson	Annapolis	52
1597	Warren	Fillmore	LittleRock	47
7544	Rutherford	Buchanan	Albany	57
614		Millard	Clinton	Indianapolis	24
5247	Benjamin	Arthur	Concord	64
5231	Rutherford	Pierce	Phoenix	60
2095	Harry	Washington	Lansing	52
8019	Bill	Arthur	Juneau	54
1665	Zachary	VanBuren	Montpelier	50
5640	Andrew	Coolidge	Topeka	58
2360	Harry	Washington	Concord	65
7821	Ulysses	Reagan	Nashville	50
153		Bill	Pierce	Honolulu	63
6442	John	VanBuren	Bismarck	20
1940	John	Harrison	Providence	28
6825	Ronald	Harrison	CarsonCity	64
3609	Martin	Cleveland	Pierre	42
2556	Benjamin	McKinley	Charleston	44
5195	Richard	Johnson	Bismarck	33
937		Lyndon	Lincoln	Lansing	20
6161	Gerald	Coolidge	Trenton	49
1306	Jimmy	Garfield	Raleigh	54
4674	James	Jackson	Pierre	61
3662	Bill	Arthur	Helena	47
2410	Thomas	Wilson	CarsonCity	56
972		George	Truman	Boston	58
8804	Ronald	Hoover	Olympia	64
8642	Franklin	Adams	Hartford	42
7827	Calvin	Harrison	Boston	28
7517	Grover	Tyler	Madison	64
4559	Theodore	Hayes	SaltLakeCity	63
8595	Franklin	Johnson	Topeka	51
5290	Rutherford	Hoover	SaltLakeCity	56
4766	James	Hoover	SaintPaul	22
2304	Harry	Johnson	Boise	48
6475	Franklin	Jackson	JeffersonCity	46
5369	James	Grant	Frankfort	46
8232	Grover	Reagan	Boise	44
5276	Herbert	Harrison	Boston	41
3453	Zachary	Polk	Boise	48
8381	Grover	Carter	Denver	48
7963	Bill	Ford	Providence	57
4262	Ronald	Taft	SantaFe	39
2487	Chester	Buchanan	Honolulu	33
4525	Theodore	Garfield	Olympia	25
1335	James	Polk	BatonRouge	25
8978	George	Madison	Juneau	26
5606	Andrew	Madison	Nashville	47
4463	Ronald	Wilson	Charleston	24
2516	Jimmy	Hayes	Raleigh	61
1304	Richard	Carter	Topeka	38
7820	Theodore	Roosevelt	Denver	63
6555	Millard	Arthur	Boise	51
1470	Herbert	Carter	BatonRouge	56
2142	Grover	Nixon	SaltLakeCity	27
595		George	McKinley	Trenton	55
8701	Jimmy	Clinton	Springfield	56

